City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,San Francisco,US,66.02,broken clouds,37.7749,-122.4194,Edwardian Hotel
595,Petrolina,BR,84.25,clear sky,-9.3986,-40.5008,JB Hotel
597,Lingao,CN,78.21,broken clouds,19.9103,109.6859,Lingao Ditai Inn
598,Lashio,MM,66.94,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
599,Vung Tau,VN,75.69,scattered clouds,10.346,107.0843,Seaside Resort
600,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
601,Salalah,OM,74.37,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
603,Ipojuca,BR,78.71,clear sky,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
605,Severinia,BR,74.82,overcast clouds,-20.8094,-48.8028,Oasis Hotel
610,Puerto Ayacucho,VE,77.54,heavy intensity rain,5.6639,-67.6236,Posada Turistica Manapiare
611,Gallup,US,65.01,overcast clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
615,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
616,Yangshe,CN,66.99,clear sky,31.8899,120.6052,Jindongmen Hotel
617,Quesnel,CA,66.7,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
619,Omboue,GA,74.59,light rain,-1.5746,9.2618,Hotel Olako
620,Aden,YE,83.03,clear sky,12.7794,45.0367,Sama Emirate Hotel
