City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Visby,SE,57.6409,18.296,55.62,88,100,16.11,overcast clouds
288,Matay,EG,28.419,30.7792,74.86,43,3,4.94,clear sky
289,Tura,IN,25.5198,90.2201,70.56,83,100,3.83,overcast clouds
290,Mayfield,US,36.7417,-88.6367,64.72,53,0,0.0,clear sky
291,Cockburn Town,TC,21.4612,-71.1419,82.17,74,90,10.31,overcast clouds
292,Ankazoabo,MG,-22.2833,44.5167,68.59,86,96,5.59,overcast clouds
293,San Jose,US,37.3394,-121.895,70.0,69,20,11.5,few clouds
294,Ambon,ID,-3.6954,128.1814,89.74,66,40,4.61,scattered clouds
295,Ulverstone,AU,-41.15,146.1667,52.21,51,86,9.22,overcast clouds
296,Hamadan,IR,34.7992,48.5146,45.48,36,0,6.91,clear sky
297,Eyrarbakki,IS,63.863,-21.1481,37.45,74,100,14.43,overcast clouds
298,Hithadhoo,MV,-0.6,73.0833,81.14,68,84,14.45,broken clouds
299,Gamba,GA,-2.65,10.0,74.26,90,100,4.07,overcast clouds
300,Kindu,CD,-2.95,25.95,68.79,99,100,2.93,light rain
301,Sumbe,AO,-11.2061,13.8437,73.8,85,30,3.67,scattered clouds
302,Taywarah,AF,33.35,64.4167,40.62,26,0,4.94,clear sky
303,Koslan,RU,63.4564,48.8989,41.02,97,100,4.05,overcast clouds
304,Makakilo City,US,21.3469,-158.0858,86.32,52,100,13.8,overcast clouds
305,Tabou,CI,4.423,-7.3528,75.88,88,100,5.5,light rain
306,Luklukan,PH,14.3254,122.7124,85.14,73,97,13.71,overcast clouds
307,Belturbet,IE,54.1,-7.45,42.3,91,6,10.09,clear sky
308,Bergneustadt,DE,51.0333,7.65,56.52,89,100,1.01,overcast clouds
309,Solnechnyy,RU,50.7214,136.6319,44.13,80,99,2.57,overcast clouds
310,Springfield,US,37.2153,-93.2982,65.88,69,11,5.66,few clouds
311,Nabire,ID,-3.3667,135.4833,84.61,70,100,3.0,overcast clouds
312,Mabiton,PH,12.8334,123.2612,84.4,76,100,16.64,overcast clouds
313,Emerald,AU,-23.5333,148.1667,83.34,54,41,8.08,scattered clouds
314,Hirara,JP,24.8,125.2833,82.67,89,75,18.41,broken clouds
315,Hobyo,SO,5.3505,48.5268,76.84,88,26,17.18,scattered clouds
316,Rio Grande,BR,-32.035,-52.0986,62.71,89,100,18.45,overcast clouds
317,Bull Savanna,JM,17.8868,-77.5902,77.11,80,98,6.8,overcast clouds
318,New Norfolk,AU,-42.7826,147.0587,54.91,60,100,4.0,overcast clouds
319,Milwaukee,US,43.0006,-87.9668,50.88,57,40,8.05,scattered clouds
320,Suchedniow,PL,51.0478,20.8292,59.02,77,100,6.26,overcast clouds
321,Birjand,IR,32.8663,59.2211,48.67,20,0,4.61,clear sky
322,Athabasca,CA,54.7169,-113.2854,36.01,32,100,6.31,overcast clouds
323,Tsurib,RU,42.2368,46.8307,45.25,98,100,3.13,light rain
324,Pemangkat,ID,1.1667,108.9667,80.73,81,100,4.45,overcast clouds
325,Marawi,PH,7.9986,124.2928,79.5,67,41,4.43,scattered clouds
326,Beni Suef,EG,29.0731,31.0979,74.73,45,6,6.22,clear sky
327,Rojhan,PK,28.6868,69.9534,76.78,19,0,5.5,clear sky
328,Agirish,RU,61.9247,63.0231,38.7,96,100,4.23,overcast clouds
329,Jumla,NP,29.2747,82.1838,46.11,61,0,5.37,clear sky
330,Kyra,RU,49.5776,111.9753,29.07,54,100,12.19,overcast clouds
331,Nehoiu,RO,45.4167,26.3,42.58,85,0,2.42,clear sky
332,Balao,EC,-2.9167,-79.8167,70.57,84,100,5.12,overcast clouds
333,Narsaq,GL,60.9167,-46.05,27.55,72,0,7.23,clear sky
334,Xichang,CN,27.8964,102.2634,54.59,79,100,3.56,overcast clouds
335,Yenagoa,NG,4.9247,6.2642,74.79,94,100,4.18,overcast clouds
336,Dunedin,NZ,-45.8742,170.5036,56.97,68,81,6.76,broken clouds
337,Koumac,NC,-20.5667,164.2833,77.16,65,75,3.87,broken clouds
338,Palmer,US,42.1584,-72.3287,57.61,74,0,6.91,clear sky
339,Aklavik,CA,68.2191,-135.0107,22.73,73,100,12.24,overcast clouds
340,Maposeni,TZ,-10.5833,35.4,60.28,58,13,4.21,few clouds
341,Somanda,TZ,-3.3667,33.95,72.7,54,42,6.87,scattered clouds
342,Tessalit,ML,20.1986,1.0114,80.42,13,0,9.19,clear sky
343,Imamoglu,TR,37.2651,35.6572,61.83,66,38,3.69,scattered clouds
344,Namatanai,PG,-3.6667,152.4333,86.07,65,57,5.44,light rain
345,Mentougou,CN,39.9392,116.0917,58.14,17,0,8.28,clear sky
